Person [lastName=Kotenko, age=11, gender=MALE]
Person [lastName=Selezneva, age=2, gender=FEMALE]
Person [lastName=Fyodorov, age=28, gender=MALE]
Person [lastName=Kovalev, age=91, gender=MALE]
Person [lastName=Yumasheva, age=49, gender=FEMALE]
Person [lastName=Makarevichna, age=52, gender=FEMALE]
Person [lastName=Nikolaev, age=24, gender=MALE]
Person [lastName=Baranov, age=91, gender=MALE]
Person [lastName=Vlasova, age=89, gender=FEMALE]
Person [lastName=Sidorenko, age=23, gender=MALE]
Person [lastName=Mikhailov, age=12, gender=MALE]
Person [lastName=Panteleeva, age=14, gender=FEMALE]
Person [lastName=Zakharov, age=13, gender=MALE]
Person [lastName=Popov, age=53, gender=MALE]
Person [lastName=Sidorenko, age=23, gender=MALE]
Person [lastName=Mikhailov, age=44, gender=MALE]
Person [lastName=Pavlenko, age=56, gender=MALE]
Person [lastName=Nikiforova, age=29, gender=FEMALE]
Person [lastName=Vlasova, age=49, gender=FEMALE]
Person [lastName=Lebedev, age=9, gender=MALE]
Person [lastName=Kotenko, age=11, gender=MALE]
Person [lastName=Selezneva, age=2, gender=FEMALE]
Person [lastName=Fyodorov, age=28, gender=MALE]
Person [lastName=Kovalev, age=91, gender=MALE]
Person [lastName=Yumasheva, age=49, gender=FEMALE]
Person [lastName=Makarevichna, age=52, gender=FEMALE]
Person [lastName=Nikolaev, age=24, gender=MALE]
Person [lastName=Baranov, age=91, gender=MALE]
Person [lastName=Vlasova, age=89, gender=FEMALE]
Person [lastName=Sidorenko, age=23, gender=MALE]
Person [lastName=Mikhailov, age=12, gender=MALE]
Person [lastName=Panteleeva, age=14, gender=FEMALE]
Person [lastName=Zakharov, age=13, gender=MALE]
Person [lastName=Popov, age=53, gender=MALE]
Person [lastName=Sidorenko, age=23, gender=MALE]
Person [lastName=Mikhailov, age=44, gender=MALE]
Person [lastName=Pavlenko, age=56, gender=MALE]
Person [lastName=Nikiforova, age=29, gender=FEMALE]
Person [lastName=Vlasova, age=49, gender=FEMALE]
Person [lastName=Lebedev, age=9, gender=MALE]
